"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 23 22:27:07 GMT 2024","Sat Mar 23 22:27:39 GMT 2024","31384","","Calendar module functionality","","user can create a new event under the Calendar module","","user can create a new event under the Calendar module","  User Story :
  As a user, I should be able to see Daily-Weekly-Monthly calendar view
  and create a new event under the Calendar module US-005"
"passed","Sat Mar 23 22:28:46 GMT 2024","Sat Mar 23 22:29:00 GMT 2024","14055","","Deck Management","","User can create a new list of card under any board","","User can create a new list of card under any board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:34:53 GMT 2024","Sat Mar 23 22:35:00 GMT 2024","7443","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"failed","Sat Mar 23 22:26:45 GMT 2024","Sat Mar 23 22:26:55 GMT 2024","10158","","Calendar module functionality","","user can display weekly calendar view","","user can display weekly calendar view","  User Story :
  As a user, I should be able to see Daily-Weekly-Monthly calendar view
  and create a new event under the Calendar module US-005"
"passed","Sat Mar 23 22:33:47 GMT 2024","Sat Mar 23 22:33:53 GMT 2024","5881","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:28:19 GMT 2024","Sat Mar 23 22:28:33 GMT 2024","13810","","Deck Management","","User can create a new board","","User can create a new board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:34:28 GMT 2024","Sat Mar 23 22:34:34 GMT 2024","6200","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:33:58 GMT 2024","Sat Mar 23 22:34:04 GMT 2024","5739","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:28:33 GMT 2024","Sat Mar 23 22:28:46 GMT 2024","13238","","Deck Management","","User can create a new board","","User can create a new board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:29:30 GMT 2024","Sat Mar 23 22:29:44 GMT 2024","14094","","Deck Management","","User can create a new list of card under any board","","User can create a new list of card under any board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:28:06 GMT 2024","Sat Mar 23 22:28:19 GMT 2024","13496","","Deck Management","","User can create a new board","","User can create a new board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:34:12 GMT 2024","Sat Mar 23 22:34:18 GMT 2024","6006","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:33:23 GMT 2024","Sat Mar 23 22:33:37 GMT 2024","14022","","US-002 - Upload/Edit/Delete File Module Functionality","","User can see the total number of files and folders under the files list table","","User can see the total number of files and folders under the files list table","  Agile story : As a user, I should be able to upload a file, move or delete any selected file under the Files module"
"passed","Sat Mar 23 22:31:00 GMT 2024","Sat Mar 23 22:31:18 GMT 2024","18377","","Deck Management","","User can add a new card on any list on the current board","","User can add a new card on any list on the current board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:33:09 GMT 2024","Sat Mar 23 22:33:23 GMT 2024","14631","","US-002 - Upload/Edit/Delete File Module Functionality","","User can delete any selected item from its three dots menu","","User can delete any selected item from its three dots menu","  Agile story : As a user, I should be able to upload a file, move or delete any selected file under the Files module"
"passed","Sat Mar 23 22:33:37 GMT 2024","Sat Mar 23 22:33:47 GMT 2024","9598","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"failed","Sat Mar 23 22:26:32 GMT 2024","Sat Mar 23 22:26:45 GMT 2024","13052","","Calendar module functionality","","user can display daily calendar view","","user can display daily calendar view","  User Story :
  As a user, I should be able to see Daily-Weekly-Monthly calendar view
  and create a new event under the Calendar module US-005"
"failed","Sat Mar 23 22:32:37 GMT 2024","Sat Mar 23 22:32:53 GMT 2024","16370","","US-002 - Upload/Edit/Delete File Module Functionality","","User can upload a file","","User can upload a file","  Agile story : As a user, I should be able to upload a file, move or delete any selected file under the Files module"
"passed","Sat Mar 23 22:32:53 GMT 2024","Sat Mar 23 22:33:09 GMT 2024","15340","","US-002 - Upload/Edit/Delete File Module Functionality","","User can create a new folder","","User can create a new folder","  Agile story : As a user, I should be able to upload a file, move or delete any selected file under the Files module"
"passed","Sat Mar 23 22:31:37 GMT 2024","Sat Mar 23 22:31:52 GMT 2024","14934","","Deck Management","","User can assign a card to themselves","","User can assign a card to themselves","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:26:55 GMT 2024","Sat Mar 23 22:27:07 GMT 2024","12113","","Calendar module functionality","","user can display monthly calendar view","","user can display monthly calendar view","  User Story :
  As a user, I should be able to see Daily-Weekly-Monthly calendar view
  and create a new event under the Calendar module US-005"
"passed","Sat Mar 23 22:27:39 GMT 2024","Sat Mar 23 22:27:52 GMT 2024","13660","","Deck Management","","User can create a new board","","User can create a new board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:33:53 GMT 2024","Sat Mar 23 22:33:58 GMT 2024","5569","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:29:15 GMT 2024","Sat Mar 23 22:29:30 GMT 2024","14303","","Deck Management","","User can create a new list of card under any board","","User can create a new list of card under any board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:34:18 GMT 2024","Sat Mar 23 22:34:28 GMT 2024","9513","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:27:52 GMT 2024","Sat Mar 23 22:28:06 GMT 2024","13311","","Deck Management","","User can create a new board","","User can create a new board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:30:44 GMT 2024","Sat Mar 23 22:31:00 GMT 2024","15558","","Deck Management","","User can add a new card on any list on the current board","","User can add a new card on any list on the current board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:29:00 GMT 2024","Sat Mar 23 22:29:15 GMT 2024","15145","","Deck Management","","User can create a new list of card under any board","","User can create a new list of card under any board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:34:34 GMT 2024","Sat Mar 23 22:34:40 GMT 2024","6178","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:30:29 GMT 2024","Sat Mar 23 22:30:44 GMT 2024","14817","","Deck Management","","User can add a new card on any list on the current board","","User can add a new card on any list on the current board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:29:44 GMT 2024","Sat Mar 23 22:29:58 GMT 2024","14662","","Deck Management","","User can create a new list of card under any board","","User can create a new list of card under any board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:31:52 GMT 2024","Sat Mar 23 22:32:07 GMT 2024","15135","","Deck Management","","User can assign a card to themselves","","User can assign a card to themselves","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:29:58 GMT 2024","Sat Mar 23 22:30:14 GMT 2024","15993","","Deck Management","","User can add a new card on any list on the current board","","User can add a new card on any list on the current board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:32:07 GMT 2024","Sat Mar 23 22:32:22 GMT 2024","14946","","Deck Management","","User can assign a card to themselves","","User can assign a card to themselves","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:34:46 GMT 2024","Sat Mar 23 22:34:53 GMT 2024","6511","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:34:04 GMT 2024","Sat Mar 23 22:34:12 GMT 2024","7983","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:32:22 GMT 2024","Sat Mar 23 22:32:37 GMT 2024","14999","","Deck Management","","User can assign a card to themselves","","User can assign a card to themselves","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:30:14 GMT 2024","Sat Mar 23 22:30:29 GMT 2024","14912","","Deck Management","","User can add a new card on any list on the current board","","User can add a new card on any list on the current board","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
"passed","Sat Mar 23 22:34:40 GMT 2024","Sat Mar 23 22:34:46 GMT 2024","5949","","Login function","","User can log in with valid credentials","","User can log in with valid credentials",""
"passed","Sat Mar 23 22:31:18 GMT 2024","Sat Mar 23 22:31:37 GMT 2024","18798","","Deck Management","","User can assign a card to themselves","","User can assign a card to themselves","  As a user, I should be able to manage my works by creating a new board/list/card and modifying them under Deck Module."
